Anz,Beschreibung,Fabrikat/Bez.,Pos.Nr.,Produkt,Typ,Typ 1,Typ 2,Nennweite,Typ/Material,Anlagenbezeichnung,LV-Nummer,Medium,Bestell-NR.,AKS-Nr.,LWA [db(A)],a/b,b/h,l,c,d,d1,d2,h,h1,h2,h3,k1,k3,t,x,y,alpha,Vol(m³/h),dP(Pa),Klappenart,Unnamed: 36,Unnamed: 37,Verbaut
1,AB,01O3ZU0007,300,600,-,100,30,-,30,-,-,500,500,-,-,-,-,-,120,-,-,-,-,-,90,-,V20,V20,V20,-,-,2.65,"Blech verzinkt,BV","Glaswolle Alu kaschiert,GA",2.42,0.8,0,0
1,BA,-,250,450,-,500,30,-,30,-,-,-,-,-,-,-,-,-,120,-,-,-,-,-,90,-,V20,V20,-,-,-,1.55,"Blech verzinkt,BV","Glaswolle Alu kaschiert,GA",1.88,0.6,0,0
1,BA,-,250,450,-,500,30,-,30,-,-,-,-,-,-,-,-,-,120,-,-,-,-,-,90,-,V30,V20,-,-,-,1.55,"Blech verzinkt,BV","Glaswolle Alu kaschiert,GA",1.88,0.6,0,0
1,BA,-,800,800,-,450,30,-,30,-,-,-,-,-,-,-,-,-,120,-,-,-,-,-,90,-,V20,V20,-,-,-,4.82,"Blech verzinkt,BV","Glaswolle Alu kaschiert,GA",5.34,0.8,0,0
1,BA,01O3AB0001,801,200,-,300,30,-,30,-,2.12.70,-,-,-,-,-,-,-,120,-,-,-,-,-,90,-,V30,V20,-,-,-,1.58,"Blech verzinkt,BV","Glaswolle Alu kaschiert,GA",1.87,0.8,0,0
1,BA,01O3AU0001,654,500,-,450,30,-,30,-,2.12.70,-,-,-,-,-,-,-,120,-,-,-,-,-,90,-,V30,V20,-,-,-,2.39,"Blech verzinkt,BV","Glaswolle Alu kaschiert,GA",2.75,0.8,0,0
1,BA,01O3AU0013,450,600,-,800,50,-,50,-,2.12.70,-,-,-,-,-,-,-,0,-,-,-,-,-,90,-,V20,V20,-,-,-,3.39,"Blech verzinkt,BV","Glaswolle Alu kaschiert,GA",3.85,0.8,0,0
1,BA,01O3FO0001,654,200,-,250,30,-,30,-,2.12.70,-,-,-,-,-,-,-,120,-,-,-,-,-,90,-,V30,V20,-,-,-,1.16,"Blech verzinkt,BV","Glaswolle Alu kaschiert,GA",1.41,0.8,0,0
1,BA,01O3FO0021,500,250,-,600,50,-,50,-,2.12.70,-,-,-,-,-,-,-,0,-,-,-,-,-,90,-,V20,V20,-,-,-,2.29,"Blech verzinkt,BV","Glaswolle Alu kaschiert,GA",2.66,0.8,0,0
1,BA,01O3ZU0001,801,500,-,600,30,-,30,-,2.12.70,-,-,-,-,-,-,-,120,-,-,-,-,-,90,-,V30,V20,-,-,-,3.34,"Blech verzinkt,BV","Glaswolle Alu kaschiert,GA",3.77,0.8,0,0
